Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P0AE67,reviewed,CHEY_ECOLI,Chemotaxis protein CheY,cheY b1882 JW1871,Escherichia coli (strain K12),129,,aerotaxis [GO:0009454]; bacterial-type flagellum-dependent swimming motility [GO:0071977]; chemotaxis [GO:0006935]; internal peptidyl-lysine acetylation [GO:0018393]; phosphorelay signal transduction system [GO:0000160]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; regulation of chemotaxis [GO:0050920]; signal transduction [GO:0007165]; thermotaxis [GO:0043052],acetyltransferase activity [GO:0016407]; magnesium ion binding [GO:0000287]; phosphorelay response regulator activity [GO:0000156],1A0O;1AB5;1AB6;1BDJ;1C4W;1CEY;1CHN;1CYE;1D4Z;1DJM;1E6K;1E6L;1E6M;1EAY;1EHC;1F4V;1FFG;1FFS;1FFW;1FQW;1HEY;1JBE;1KMI;1MIH;1U8T;1UDR;1VLZ;1YMU;1YMV;1ZDM;2B1J;2ID7;2ID9;2IDM;2LP4;3CHY;3F7N;3FFT;3FFW;3FFX;3FGZ;3MYY;3OLV;3OLW;3OLX;3OLY;3OO0;3OO1;3RVJ;3RVK;3RVL;3RVM;3RVN;3RVO;3RVP;3RVQ;3RVR;3RVS;5CHY;5D2C;5DGC;5DKF;6CHY;6TG7;,PF00072;
P0AE70,reviewed,MAZF_ECOLI,Endoribonuclease toxin MazF (EC 3.1.27.-) (Toxin MazF) (mRNA interferase MazF),mazF chpA chpAK b2782 JW2753,Escherichia coli (strain K12),111,,defense response to virus [GO:0051607]; mRNA catabolic process [GO:0006402]; negative regulation of cell growth [GO:0030308]; positive regulation of programmed cell death [GO:0043068]; quorum sensing [GO:0009372]; regulation of DNA-templated transcription [GO:0006355]; regulation of growth [GO:0040008]; regulation of translation [GO:0006417]; rRNA catabolic process [GO:0016075]; single-species biofilm formation [GO:0044010],DNA binding [GO:0003677]; molecular function activator activity [GO:0140677]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521],1UB4;3NFC;5CK9;5CKB;5CKD;5CKE;5CKF;5CKH;5CO7;5CQX;5CQY;5CR2;,PF02452;
P0AE72,reviewed,MAZE_ECOLI,Antitoxin MazE,mazE chpAI chpR b2783 JW2754,Escherichia coli (strain K12),82,,regulation of DNA-templated transcription [GO:0006355]; regulation of growth [GO:0040008]; single-species biofilm formation [GO:0044010],double-stranded DNA binding [GO:0003690]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; toxin sequestering activity [GO:0097351],1MVF;1UB4;2MRN;2MRU;5CQX;5CQY;,PF04014;
P0AE82,reviewed,CPXA_ECOLI,Sensor histidine kinase CpxA (EC 2.7.13.3),cpxA ecfB eup ssd b3911 JW3882,Escherichia coli (strain K12),457,,cell adhesion involved in biofilm formation [GO:0043708]; cellular response to cell envelope stress [GO:0036460]; response to radiation [GO:0009314]; signal transduction [GO:0007165],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155],4BIU;4BIV;4BIW;4BIX;4BIY;4BIZ;4CB0;5LFK;8UK7;,PF16527;PF00672;PF02518;PF00512;
P0AE85,reviewed,CPXP_ECOLI,Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP),cpxP yiiO b4484 JW5558,Escherichia coli (strain K12),166,,regulation of proteolysis [GO:0030162]; response to stress [GO:0006950],identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082],3ITF;3QZC;,PF07813;
P0AE88,reviewed,CPXR_ECOLI,Transcriptional regulatory protein CpxR,cpxR yiiA b3912 JW3883,Escherichia coli (strain K12),232,,cell adhesion [GO:0007155]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cell-substrate adhesion [GO:0010810]; regulation of DNA-templated transcription [GO:0006355],DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],4UHJ;4UHK;4UHS;4UHT;,PF00072;PF00486;
P0AEA8,reviewed,CYSG_ECOLI,Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)],cysG b3368 JW3331,Escherichia coli (strain K12),457,"PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646, ECO:0000305|PubMed:2407234}.; PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646, ECO:0000305|PubMed:8243665}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646, ECO:0000305|PubMed:2407234}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; siroheme from sirohydrochlorin: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646, ECO:0000305|PubMed:8243665}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646, ECO:0000305|PubMed:8243665}.",cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; response to osmotic stress [GO:0006970]; siroheme biosynthetic process [GO:0019354],NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; protein homodimerization activity [GO:0042803]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851],,PF10414;PF13241;PF14824;PF00590;
P0AEB2,reviewed,DACA_ECOLI,D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Beta-lactamase) (EC 3.5.2.6) (Penicillin-binding protein 5) (PBP-5),dacA pfv b0632 JW0627,Escherichia coli (strain K12),403,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.,cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan metabolic process [GO:0000270]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360],beta-lactamase activity [GO:0008800]; carboxypeptidase activity [GO:0004180]; penicillin binding [GO:0008658]; protein homodimerization activity [GO:0042803]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],1HD8;1NJ4;1NZO;1NZU;1SDN;1Z6F;3BEB;3BEC;3MZD;3MZE;3MZF;5J8X;6NTZ;,PF07943;PF00768;
P0AEC3,reviewed,ARCB_ECOLI,Aerobic respiration control sensor protein ArcB (EC 2.7.13.3),arcB b3210 JW5536,Escherichia coli (strain K12),778,,protein autophosphorylation [GO:0046777]; regulation of DNA-templated transcription [GO:0006355]; response to oxygen levels [GO:0070482]; signal transduction [GO:0007165],ATP binding [GO:0005524]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155],1A0B;1BDJ;1FR0;2A0B;2KSD;,PF02518;PF00512;PF18415;PF01627;PF00989;PF00072;
P0AEC5,reviewed,BARA_ECOLI,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3),barA b2786 JW2757,Escherichia coli (strain K12),918,,response to acetate [GO:0010034]; response to formic acid [GO:1901425]; response to hydrogen peroxide [GO:0042542]; signal transduction [GO:0007165],ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]; protein homodimerization activity [GO:0042803],,PF00672;PF02518;PF00512;PF01627;PF00072;PF09984;
P0AEC8,reviewed,DCUS_ECOLI,Sensor histidine kinase DcuS (EC 2.7.13.3) (Fumarate sensor),dcuS yjdH b4125 JW4086,Escherichia coli (strain K12),543,,phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673],1OJG;2W0N;3BY8;,PF02518;PF00989;PF17203;PF14689;
P0AED7,reviewed,DAPE_ECOLI,"Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)",dapE msgB b2472 JW2456,Escherichia coli (strain K12),375,"PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; LL-2,6-diaminopimelate from (S)-tetrahydrodipicolinate (succinylase route): step 3/3.",diaminopimelate biosynthetic process [GO:0019877]; FtsZ-dependent cytokinesis [GO:0043093]; lysine biosynthetic process via diaminopimelate [GO:0009089],cobalt ion binding [GO:0050897]; identical protein binding [GO:0042802]; succinyl-diaminopimelate desuccinylase activity [GO:0009014]; zinc ion binding [GO:0008270],,PF07687;PF01546;
P0AEE3,reviewed,DEGS_ECOLI,Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (S1P protease DegS) (Site-1-type intramembrane protease),degS hhoB htrH b3235 JW3204,Escherichia coli (strain K12),355,,cellular response to misfolded protein [GO:0071218]; proteolysis [GO:0006508],identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236],1SOT;1SOZ;1TE0;1VCW;2QF0;2QF3;2QGR;2R3U;2R3Y;2RCE;3B8J;3GCN;3GCO;3GDS;3GDU;3GDV;3LGI;3LGT;3LGU;3LGV;3LGW;3LGY;3LH1;3LH3;4RQY;4RQZ;4RR0;4RR1;6EW9;,PF13180;PF13365;
P0AEE5,reviewed,MGLB_ECOLI,D-galactose/methyl-galactoside binding periplasmic protein MglB (D-galactose-binding periplasmic protein) (GBP) (D-galactose/D-glucose-binding protein) (GGBP),mglB b2150 JW2137,Escherichia coli (strain K12),332,,chemotaxis [GO:0006935]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765],calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246],1GLG;2FVY;2FW0;2GBP;2HPH;2IPL;2IPM;2IPN;2QW1;8FXT;,PF13407;
P0AEE8,reviewed,DMA_ECOLI,DNA adenine methylase (EC 2.1.1.72) (DNA adenine methyltransferase) (Deoxyadenosyl-methyltransferase) (Orphan methyltransferase M.EcoKDam) (M.EcoKDam),dam b3387 JW3350,Escherichia coli (strain K12),278,,bacterial-type DNA replication initiation [GO:1902328]; DNA restriction-modification system [GO:0009307]; DNA-templated DNA replication [GO:0006261]; methylation [GO:0032259]; mismatch repair [GO:0006298]; response to UV [GO:0009411],S-adenosyl-L-methionine binding [GO:1904047]; sequence-specific DNA binding [GO:0043565]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007],2G1P;2ORE;4GBE;4GOL;4GOM;4GON;4GOO;4RTJ;4RTK;4RTL;4RTM;4RTN;4RTO;4RTP;4RTQ;4RTR;4RTS;,PF02086;
P0AEF0,reviewed,DNAC_ECOLI,Replicative helicase loader DnaC (EC 3.6.4.-) (DNA replication protein DnaC),dnaC dnaD b4361 JW4325,Escherichia coli (strain K12),245,,"DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; DNA replication, synthesis of primer [GO:0006269]; DNA strand elongation involved in DNA replication [GO:0006271]; replication fork processing [GO:0031297]",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677],6KZA;6QEL;6QEM;,PF01695;
P0AEF8,reviewed,DPPB_ECOLI,Dipeptide transport system permease protein DppB,dppB b3543 JW3512,Escherichia coli (strain K12),339,,dipeptide transport [GO:0042938]; heme transmembrane transport [GO:0035351]; protein transport [GO:0015031],dipeptide transmembrane transporter activity [GO:0071916],8Z1V;8Z1W;8Z1X;8Z1Y;,PF00528;PF19300;
P0AEG1,reviewed,DPPC_ECOLI,Dipeptide transport system permease protein DppC,dppC b3542 JW3511,Escherichia coli (strain K12),300,,dipeptide transport [GO:0042938]; heme transmembrane transport [GO:0035351]; protein transport [GO:0015031],dipeptide transmembrane transporter activity [GO:0071916],8Z1V;8Z1W;8Z1X;8Z1Y;,PF00528;PF12911;
P0AEG4,reviewed,DSBA_ECOLI,Thiol:disulfide interchange protein DsbA,dsbA dsf ppfA b3860 JW3832,Escherichia coli (strain K12),208,,cellular response to antibiotic [GO:0071236],protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035],1A23;1A24;1A2J;1A2L;1A2M;1AC1;1ACV;1BQ7;1DSB;1FVJ;1FVK;1TI1;1U3A;1UN2;2B3S;2B6M;2HI7;2LEG;2NDO;2ZUP;3E9J;4TKY;4ZIJ;5QKC;5QKD;5QKE;5QKF;5QKG;5QKH;5QKI;5QKJ;5QKK;5QKL;5QKM;5QKN;5QKO;5QKP;5QKQ;5QKR;5QKS;5QKT;5QKU;5QKV;5QKW;5QKX;5QKY;5QKZ;5QL0;5QL1;5QL2;5QL3;5QL4;5QL5;5QL6;5QL7;5QL8;5QL9;5QLA;5QLB;5QLC;5QLD;5QLE;5QLF;5QLG;5QLH;5QLI;5QLJ;5QLK;5QLL;5QLM;5QLN;5QLO;5QLP;5QLQ;5QLR;5QLS;5QLT;5QLU;5QLV;5QLW;5QLX;5QLY;5QLZ;5QM0;5QM1;5QM2;5QM3;5QM4;5QM5;5QM6;5QM7;5QM8;5QM9;5QMA;5QMB;5QMC;5QMD;5QME;5QMF;5QMG;5QMH;5QMI;5QMJ;5QMK;5QML;5QMM;5QMN;5QMO;5QMP;5QMQ;5QMR;5QMS;5QMT;5QMU;5QMV;5QMW;5QMX;5QMY;5QMZ;5QN0;5QN1;5QN2;5QN3;5QN4;5QN5;5QN6;5QN7;5QN8;5QN9;5QNA;5QNB;5QNC;5QND;5QNE;5QNF;5QNG;5QNH;5QNI;5QNJ;5QNK;5QNL;5QNM;5QNN;5QNO;5QNP;5QNQ;5QNR;5QNS;5QNT;5QNU;5QNV;5QNW;5QNX;5QNY;5QNZ;5QO0;5QO1;5QO2;5QO3;5QO4;5QO5;5QO6;5QO7;5QO8;5QO9;5QOA;5QOB;5QOC;5QOD;5QOE;5QOF;5QOG;6BQX;6BR4;6PBI;6PC9;6PD7;6PDH;6PG1;6PG2;6PGJ;6PIQ;6PLI;6PMF;6PML;6POH;6POI;6POQ;6PVY;6PVZ;6WHD;6XSP;6XSQ;6XT3;7L76;7L7C;7LHP;7LSM;7S1C;7S1D;7S1F;7S1L;7TTV;8CXD;8CXE;8CZM;8CZN;8D10;8D11;8D12;8DG0;8DG1;8DG2;8DN0;8EOC;8EQO;8EQP;8EQQ;8EQR;8U1Y;8U59;8UBQ;8UF9;9EGR;,PF01323;
P0AEG6,reviewed,DSBC_ECOLI,Thiol:disulfide interchange protein DsbC,dsbC xprA b2893 JW2861,Escherichia coli (strain K12),236,,chaperone-mediated protein folding [GO:0061077]; response to copper ion [GO:0046688],protein disulfide isomerase activity [GO:0003756]; protein homodimerization activity [GO:0042803]; protein-disulfide reductase activity [GO:0015035],1EEJ;1G0T;1JZD;1JZO;1TJD;2IYJ;,PF10411;PF13098;
P0AEH1,reviewed,RSEP_ECOLI,Regulator of sigma-E protease RseP (EC 3.4.24.-) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease),rseP ecfE yaeL b0176 JW0171,Escherichia coli (strain K12),450,,cellular response to cell envelope stress [GO:0036460]; positive regulation of DNA-templated transcription [GO:0045893]; proteolysis [GO:0006508],anti-sigma factor antagonist activity [GO:0043856]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],2ZPL;2ZPM;3ID1;3ID2;3ID3;3ID4;7W6X;7W71;,PF17820;PF02163;
P0AEI1,reviewed,MIAB_ECOLI,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase),miaB yleA b0661 JW0658,Escherichia coli (strain K12),474,,tRNA methylation [GO:0030488]; tRNA methylthiolation [GO:0035600],"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; N6-isopentenyladenosine methylthiotransferase activity [GO:0035597]",,PF04055;PF01938;PF00919;
P0AEJ0,reviewed,EMRB_ECOLI,Multidrug export protein EmrB,emrB b2686 JW2661,Escherichia coli (strain K12),512,,bile acid and bile salt transport [GO:0015721]; response to antibiotic [GO:0046677]; response to steroid hormone [GO:0048545]; response to toxic substance [GO:0009636]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the cell outer membrane [GO:0140330]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961],bile acid transmembrane transporter activity [GO:0015125]; transmembrane transporter activity [GO:0022857],,PF07690;
P0AEJ2,reviewed,ENTC_ECOLI,Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase),entC b0593 JW0585,Escherichia coli (strain K12),391,PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305}.,enterobactin biosynthetic process [GO:0009239],isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287],3HWO;5JXZ;5JY4;5JY8;5JZD;,PF00425;
P0AEJ4,reviewed,ENVZ_ECOLI,Sensor histidine kinase EnvZ (EC 2.7.13.3) (Osmolarity sensor protein EnvZ),envZ ompB perA tpo b3404 JW3367,Escherichia coli (strain K12),450,,phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; response to osmotic stress [GO:0006970]; signal transduction [GO:0007165],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; protein homodimerization activity [GO:0042803],1BXD;1JOY;3ZCC;3ZRV;3ZRW;3ZRX;4CTI;4KP4;5B1N;5B1O;5XGA;,PF00672;PF02518;PF00512;
P0AEJ6,reviewed,EUTB_ECOLI,Ethanolamine ammonia-lyase large subunit (EAL large subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase alpha subunit) (Ethanolamine ammonia-lyase heavy chain) (Ethanolamine deaminase large subunit),eutB b2441 JW2434,Escherichia coli (strain K12),453,PATHWAY: Amine and polyamine degradation; ethanolamine degradation. {ECO:0000255|HAMAP-Rule:MF_00861}.,amino acid metabolic process [GO:0006520]; ethanolamine catabolic process [GO:0046336],cobalamin binding [GO:0031419]; ethanolamine ammonia-lyase activity [GO:0008851],3ABO;3ABQ;3ABR;3ABS;3ANY;3AO0;5YSN;5YSR;7XRM;7XRN;,PF06751;
P0AEK2,reviewed,FABG_ECOLI,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase),fabG b1093 JW1079,Escherichia coli (strain K12),244,"PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000269|PubMed:14996818, ECO:0000269|PubMed:7592873}.",biotin biosynthetic process [GO:0009102]; fatty acid biosynthetic process [GO:0006633]; fatty acid elongation [GO:0030497]; lipid biosynthetic process [GO:0008610],"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",1I01;1Q7B;1Q7C;,PF13561;
P0AEK4,reviewed,FABI_ECOLI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase),fabI envM b1288 JW1281,Escherichia coli (strain K12),262,PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000269|PubMed:7592873}.; PATHWAY: Cofactor biosynthesis; biotin biosynthesis. {ECO:0000305|PubMed:20693992}.,biotin biosynthetic process [GO:0009102]; fatty acid elongation [GO:0030497]; lipid biosynthetic process [GO:0008610]; protein homotetramerization [GO:0051289]; response to antibiotic [GO:0046677],enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; identical protein binding [GO:0042802]; NADH binding [GO:0070404],1C14;1D8A;1DFG;1DFH;1DFI;1I2Z;1I30;1LX6;1LXC;1MFP;1QG6;1QSG;2FHS;3PJD;3PJE;3PJF;4JQC;4JX8;5CFZ;5CG1;5CG2;7UM8;7UMW;,PF13561;
P0AEK7,reviewed,FDNI_ECOLI,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)",fdnI b1476 JW1472,Escherichia coli (strain K12),217,,anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; heme oxidation [GO:0006788],electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; formate dehydrogenase (quinone) activity [GO:0036397]; heme binding [GO:0020037]; metal ion binding [GO:0046872],1KQF;1KQG;,PF01292;
P0AEL0,reviewed,FDOI_ECOLI,"Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)",fdoI b3892 JW3863,Escherichia coli (strain K12),211,,anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; cellular respiration [GO:0045333]; DNA damage response [GO:0006974]; formate oxidation [GO:0015944]; heme oxidation [GO:0006788],electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; formate dehydrogenase (quinone) activity [GO:0036397]; metal ion binding [GO:0046872],,PF01292;
P0AEM0,reviewed,FKBX_ECOLI,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase),fkpB slpA yaaD b0028 JW0026,Escherichia coli (strain K12),149,,chaperone-mediated protein folding [GO:0061077]; protein refolding [GO:0042026],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],2M2A;4DT4;5I7Q;,PF00254;
P0AEM6,reviewed,FLIA_ECOLI,RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28),fliA flaD rpoF b1922 JW1907,Escherichia coli (strain K12),239,,bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; regulation of DNA-templated transcription initiation [GO:2000142],DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; sigma factor activity [GO:0016987],6PMI;6PMJ;,PF04542;PF04539;PF04545;
P0AEM9,reviewed,TCYJ_ECOLI,L-cystine-binding protein TcyJ (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7),tcyJ fliY yzzR b1920 JW1905,Escherichia coli (strain K12),266,,cysteine transmembrane transport [GO:1903712]; diaminopimelate transport [GO:0015830]; L-cystine transport [GO:0015811]; sulfur utilization [GO:0006791],amino acid binding [GO:0016597]; L-cystine transmembrane transporter activity [GO:0015184]; ligand-gated monoatomic ion channel activity [GO:0015276],,PF00497;
P0AEN1,reviewed,FRE_ECOLI,NAD(P)H-flavin reductase (EC 1.5.1.41) (FMN reductase) (Ferrisiderophore reductase C) (NAD(P)H:flavin oxidoreductase) (Riboflavin reductase [NAD(P)H]),fre fadI flrD fsrC ubiB b3844 JW3820,Escherichia coli (strain K12),233,,iron ion transport [GO:0006826]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979],enzyme activator activity [GO:0008047]; riboflavin reductase (NADPH) activity [GO:0042602]; riboflavin reductase [NAD(P)H] activity [GO:0052875],1QFJ;,PF00970;PF00175;
P0AEN4,reviewed,FTSL_ECOLI,Cell division protein FtsL,ftsL mraR yabD b0083 JW0081,Escherichia coli (strain K12),121,,cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093],,8HHF;8HHG;8HHH;,PF04999;
P0AEN8,reviewed,FUCM_ECOLI,L-fucose mutarotase (EC 5.1.3.29) (D-ribose pyranase) (EC 5.4.99.62) (Fucose 1-epimerase) (Type-2 mutarotase),fucU b2804 JW2775,Escherichia coli (strain K12),140,"PATHWAY: Carbohydrate metabolism; L-fucose metabolism. {ECO:0000269|PubMed:15060078, ECO:0000269|PubMed:19524593}.",fucose metabolic process [GO:0006004]; fucosylation [GO:0036065]; L-fucose metabolic process [GO:0042354],"D-ribose pyranase activity [GO:0062193]; fucose binding [GO:0042806]; identical protein binding [GO:0042802]; L-fucose mutarotase activity [GO:0036373]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]",2WCV;,PF05025;
P0AEP3,reviewed,GALU_ECOLI,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-Glc PPase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase),galU ychD b1236 JW1224,Escherichia coli (strain K12),302,,"colanic acid biosynthetic process [GO:0009242]; galactose catabolic process via UDP-galactose, Leloir pathway [GO:0033499]; lipopolysaccharide core region biosynthetic process [GO:0009244]; osmoregulated periplasmic glucan biosynthetic process [GO:1900727]; UDP-alpha-D-glucose metabolic process [GO:0006011]",identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983],2E3D;,PF00483;
P0AEP7,reviewed,GCL_ECOLI,Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase),gcl b0507 JW0495,Escherichia coli (strain K12),593,PATHWAY: Organic acid metabolism; glycolate degradation; 3-phospho-D-glycerate from glycolate: step 2/4.,glycolate catabolic process [GO:0046296]; glyoxylate catabolic process [GO:0009436]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099],FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; tartronate-semialdehyde synthase activity [GO:0009028]; thiamine pyrophosphate binding [GO:0030976],2PAN;8BEO;8I01;8I05;8I07;8I08;,PF02775;PF00205;PF02776;
P0AEP9,reviewed,GLCD_ECOLI,Glycolate oxidase subunit GlcD (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcD),glcD gox yghM b2979 JW2946,Escherichia coli (strain K12),499,,DNA damage response [GO:0006974]; glycolate catabolic process [GO:0046296],(S)-2-hydroxy-acid oxidase activity [GO:0003973]; D-2-hydroxy-acid dehydrogenase activity [GO:0047809]; FAD binding [GO:0071949]; glycolate dehydrogenase activity [GO:0019154],,PF02913;PF01565;
P0AER0,reviewed,GLPF_ECOLI,Glycerol uptake facilitator protein (Aquaglyceroporin) (Glycerol facilitator),glpF b3927 JW3898,Escherichia coli (strain K12),281,,cellular response to mercury ion [GO:0071288]; glycerol transmembrane transport [GO:0015793],glycerol channel activity [GO:0015254]; glycerol transmembrane transporter activity [GO:0015168],1FX8;1LDA;1LDF;1LDI;,PF00230;
